date,action,ticker,execution_price,market_price,quantity,quantity_signed,cash_balance,position_value,total_value
2022-12-08,BUY,GOLD,0.93,0.93,1080136.04,1080136.04,0.00,999989.95,999989.95
2022-12-19,SELL,GOLD,1.00,1.00,1080136.04,-1080136.04,1077532.89,0.00,1077532.89
2022-12-19,BUY,OBLG,132.84,132.84,8111.43,8111.43,0.00,1077522.06,1077522.06
2022-12-20,SELL,OBLG,132.70,132.70,8111.43,-8111.43,1076375.64,0.00,1076375.64
2022-12-20,BUY,LQDT,1.20,1.20,895552.73,895552.73,0.00,1076364.82,1076364.82
2023-01-12,SELL,LQDT,1.21,1.21,895552.73,-895552.73,1081637.72,0.00,1081637.72
2023-01-12,BUY,GOLD,1.07,1.07,1008321.85,1008321.85,0.00,1081626.84,1081626.84
2023-01-16,SELL,GOLD,1.09,1.09,1008321.85,-1008321.85,1099059.77,0.00,1099059.77
2023-01-16,BUY,EQMX,94.15,94.15,11673.38,11673.38,0.00,1099048.72,1099048.72
2023-01-17,SELL,EQMX,92.60,92.60,11673.38,-11673.38,1080944.12,0.00,1080944.12
2023-01-17,BUY,OBLG,134.38,134.38,8043.86,8043.86,0.00,1080933.26,1080933.26
2023-01-19,SELL,OBLG,134.70,134.70,8043.86,-8043.86,1083496.40,0.00,1083496.40
2023-01-19,BUY,LQDT,1.21,1.21,896034.99,896034.99,0.00,1083485.51,1083485.51
2023-01-20,SELL,LQDT,1.21,1.21,896034.99,-896034.99,1083833.03,0.00,1083833.03
2023-01-20,BUY,GOLD,1.11,1.11,975713.13,975713.13,0.00,1083822.14,1083822.14
2023-01-27,SELL,GOLD,1.11,1.11,975713.13,-975713.13,1085762.65,0.00,1085762.65
2023-01-27,BUY,OBLG,134.64,134.64,8064.11,8064.11,0.00,1085751.74,1085751.74
2023-01-30,SELL,OBLG,134.56,134.56,8064.11,-8064.11,1085095.71,0.00,1085095.71
2023-01-30,BUY,GOLD,1.12,1.12,969085.29,969085.29,0.00,1085084.80,1085084.80
2023-02-01,SELL,GOLD,1.13,1.14,969085.29,-969085.29,1099900.75,0.00,1099900.75
2023-02-01,BUY,EQMX,94.70,94.70,11614.46,11614.46,0.00,1099889.70,1099889.70
2023-02-07,SELL,EQMX,96.20,96.20,11614.46,-11614.46,1117300.17,0.00,1117300.17
2023-02-07,BUY,LQDT,1.21,1.21,921095.58,921095.58,0.00,1117288.94,1117288.94
2023-02-08,SELL,LQDT,1.21,1.21,921095.58,-921095.58,1117277.71,0.00,1117277.71
2023-02-08,BUY,OBLG,134.90,134.90,8282.18,8282.18,0.00,1117266.48,1117266.48
2023-02-09,SELL,OBLG,134.68,134.68,8282.18,-8282.18,1115433.19,0.00,1115433.19
2023-02-09,BUY,LQDT,1.21,1.21,919026.10,919026.10,0.00,1115421.98,1115421.98
2023-02-10,SELL,LQDT,1.21,1.21,919026.10,-919026.10,1115778.38,0.00,1115778.38
2023-02-10,BUY,GOLD,1.14,1.14,981757.29,981757.29,0.00,1115767.16,1115767.16
2023-02-15,SELL,GOLD,1.14,1.14,981757.29,-981757.29,1119388.42,0.00,1119388.42
2023-02-15,BUY,LQDT,1.21,1.21,921601.49,921601.49,0.00,1119377.17,1119377.17
2023-03-09,SELL,LQDT,1.22,1.22,921601.49,-921601.49,1124711.15,0.00,1124711.15
2023-03-09,BUY,GOLD,1.16,1.16,970908.02,970908.02,0.00,1124699.85,1124699.85
2023-03-15,SELL,GOLD,1.21,1.21,970908.02,-970908.02,1175951.97,0.00,1175951.97
2023-03-15,BUY,LQDT,1.22,1.22,962938.22,962938.22,0.00,1175940.15,1175940.15
2023-03-16,SELL,LQDT,1.22,1.22,962938.22,-962938.22,1176409.80,0.00,1176409.80
2023-03-16,BUY,EQMX,95.80,95.80,12279.73,12279.73,0.00,1176397.98,1176397.98
2023-03-17,SELL,EQMX,98.30,98.30,12279.73,-12279.73,1207085.17,0.00,1207085.17
2023-03-17,BUY,GOLD,1.26,1.26,960051.73,960051.73,0.00,1207073.04,1207073.04
2023-03-20,SELL,GOLD,1.27,1.27,960051.73,-960051.73,1221653.54,0.00,1221653.54
2023-03-20,BUY,OBLG,135.44,135.44,9019.80,9019.80,0.00,1221641.27,1221641.27
2023-03-24,SELL,OBLG,135.42,135.42,9019.80,-9019.80,1221448.60,0.00,1221448.60
2023-03-24,BUY,LQDT,1.22,1.22,998231.71,998231.71,0.00,1221436.32,1221436.32
2023-03-27,SELL,LQDT,1.22,1.22,998231.71,-998231.71,1221623.69,0.00,1221623.69
2023-03-27,BUY,OBLG,135.56,135.56,9011.59,9011.59,0.00,1221611.41,1221611.41
2023-03-30,SELL,OBLG,136.28,136.28,9011.59,-9011.59,1228087.42,0.00,1228087.42
2023-03-30,BUY,GOLD,1.27,1.27,970043.50,970043.50,0.00,1228075.07,1228075.07
