base_lookback,market_vol_window,base_vol_window,market_vol_threshold,max_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,used_market_vol_window,final_value,cagr,sharpe,max_drawdown
28,21,9,0.35,0.3,42,14,25,1.0,0.73,True,True,60,allow,False,LQDT,False,21,3431927.6135012046,0.52013568089389,3.55545883586735,-0.06682563624676374
28,21,9,0.35,0.3,42,14,25,1.5,0.73,True,True,60,allow,False,LQDT,False,31,3431927.6135012046,0.52013568089389,3.55545883586735,-0.06682563624676374
28,21,9,0.35,0.3,42,14,25,2.0,0.73,True,True,60,allow,False,LQDT,False,42,3431927.6135012046,0.52013568089389,3.55545883586735,-0.06682563624676374
