base_lookback,market_vol_window,base_vol_window,market_vol_threshold,max_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,used_market_vol_window,total_trades,time_in_cash_pct,final_value,cagr,sharpe,max_drawdown,calmar,sortino,volatility
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,60,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
30,21,9,0.35,0.3,36,20,24,1.4,0.72,True,True,60,allow,False,LQDT,False,29,315,,3589728.4438059856,0.4257649430505097,3.5503386418123184,-0.056037997714123766,,,
30,21,7,0.35,0.3,36,20,24,1.4,0.72,True,True,60,allow,False,LQDT,False,29,315,,3564460.528456243,0.42297254198487955,3.528566976781046,-0.05866539821804062,,,
30,21,10,0.35,0.3,36,20,24,1.4,0.72,True,True,60,allow,False,LQDT,False,29,307,,3375523.2325514415,0.4016258929817307,3.4512478473674144,-0.06583881396410496,,,
