base_lookback,market_vol_window,base_vol_window,market_vol_threshold,max_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,used_market_vol_window,total_trades,time_in_cash_pct,final_value,cagr,sharpe,max_drawdown,calmar,sortino,volatility
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,10,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,20,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,30,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,40,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,50,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,60,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,70,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,80,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
