base_lookback,market_vol_window,base_vol_window,market_vol_threshold,max_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,used_market_vol_window,total_trades,time_in_cash_pct,final_value,cagr,sharpe,max_drawdown,calmar,sortino,volatility
30,21,8,0.35,0.3,36,20,24,1.4,0.72,True,True,60,allow,False,LQDT,False,29,309,,3699272.9023375087,0.43770923823685326,3.6460560047728667,-0.05866539821804062,,,
30,21,8,0.35,0.3,36,20,24,1.3,0.72,True,True,60,allow,False,LQDT,False,27,305,,3546427.004927989,0.42097086828506347,3.497365002543157,-0.05866539821804062,,,
30,21,8,0.35,0.3,36,20,24,1.5,0.72,True,True,60,allow,False,LQDT,False,31,311,,3479233.030135504,0.41344712424918684,3.3977900530531135,-0.058723512939995004,,,
