base_lookback,market_vol_window,base_vol_window,market_vol_threshold,max_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,used_market_vol_window,final_value,cagr,sharpe,max_drawdown
29,21,9,0.31,0.3,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2787569.827677523,0.416479290533613,3.8238367208493673,-0.053792055884256396
29,21,9,0.32,0.3,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2787569.827677523,0.416479290533613,3.8238367208493673,-0.053792055884256396
29,21,9,0.33,0.3,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2787569.827677523,0.416479290533613,3.8238367208493673,-0.053792055884256396
29,21,9,0.34,0.3,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2787569.827677523,0.416479290533613,3.8238367208493673,-0.053792055884256396
29,21,9,0.35,0.3,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,25,2877820.384274752,0.43189081566119536,3.554583103441648,-0.059560486135840085
