date,action,ticker,price
2022-12-09,BUY,GOLD,0.929509341475
2022-12-19,SELL,GOLD,0.9975899741200001
2022-12-19,BUY,LQDT,1.201712077085
2023-01-12,SELL,LQDT,1.20778786161
2023-01-12,BUY,GOLD,1.072710780635
2023-01-16,SELL,GOLD,1.0899890455
2023-01-16,BUY,EQMX,94.1509462075
2023-01-17,SELL,EQMX,92.59906937
2023-01-17,BUY,OBLG,134.381350519
2023-01-19,SELL,OBLG,134.69864626499998
2023-01-19,BUY,LQDT,1.2092121524600001
2023-01-20,SELL,LQDT,1.20958784352
2023-01-20,BUY,GOLD,1.11081116354
2023-01-27,SELL,GOLD,1.11278881636
2023-01-27,BUY,OBLG,134.64135313199998
2023-01-30,SELL,OBLG,134.558647672
2023-01-30,BUY,GOLD,1.119711252985
2023-02-01,SELL,GOLD,1.1349885932500001
2023-02-01,BUY,EQMX,94.700951735
2023-02-07,SELL,EQMX,96.19903319000001
2023-02-07,BUY,LQDT,1.21301219065
2023-02-08,SELL,LQDT,1.2129878093500002
2023-02-08,BUY,OBLG,134.901355745
2023-02-09,SELL,OBLG,134.678646466
2023-02-09,BUY,LQDT,1.213712197685
2023-02-10,SELL,LQDT,1.214087798295
2023-02-10,BUY,GOLD,1.136511421825
2023-02-15,SELL,GOLD,1.14018854099
2023-02-15,BUY,LQDT,1.2146122067299998
2023-03-09,SELL,LQDT,1.2203877349799999
2023-03-09,BUY,GOLD,1.1584116419200001
2023-03-15,SELL,GOLD,1.21118782744
2023-03-15,BUY,LQDT,1.2212122730600001
2023-03-16,SELL,LQDT,1.221687721915
2023-03-16,BUY,EQMX,95.80096279
2023-03-17,SELL,EQMX,98.299012085
2023-03-17,BUY,GOLD,1.257312635865
2023-03-20,SELL,GOLD,1.272487211375
2023-03-20,BUY,OBLG,135.441361172
2023-03-24,SELL,OBLG,135.418639029
2023-03-24,BUY,LQDT,1.22361229718
2023-03-27,SELL,LQDT,1.22378770081
2023-03-27,BUY,OBLG,135.561362378
2023-03-30,SELL,OBLG,136.278630386
2023-03-30,BUY,GOLD,1.2660127233
2023-04-04,SELL,GOLD,1.3219867139
2023-04-04,BUY,EQMX,105.2510577625
2023-04-11,SELL,EQMX,106.79892665999999
2023-04-11,BUY,OBLG,136.64137323199998
2023-04-12,SELL,OBLG,136.498628175
2023-04-12,BUY,EQMX,107.4510798725
2023-04-14,SELL,EQMX,108.0489140975
2023-04-14,BUY,OBLG,136.561372428
2023-04-19,SELL,OBLG,136.638626768
2023-04-19,BUY,EQMX,109.85110399249999
2023-04-21,SELL,EQMX,111.5488789225
2023-04-21,BUY,GOLD,1.3412134790599999
2023-04-24,SELL,GOLD,1.3299866335000001
2023-04-24,BUY,OBLG,137.241379262
2023-04-25,SELL,OBLG,137.238620738
2023-04-25,BUY,EQMX,110.9511150475
2023-05-03,SELL,EQMX,106.89892565500001
2023-05-03,BUY,LQDT,1.2322123836099999
2023-05-04,SELL,LQDT,1.232887609355
2023-05-04,BUY,OBLG,137.42138107099998
2023-05-10,SELL,OBLG,137.318619934
2023-05-10,BUY,LQDT,1.233912400695
2023-05-11,SELL,LQDT,1.23458759227
2023-05-11,BUY,OBLG,137.901385895
2023-06-15,SELL,OBLG,139.378599231
2023-06-15,BUY,EQMX,122.80123413999999
2023-06-22,SELL,EQMX,121.64877741750001
2023-06-22,BUY,OBLG,139.74140438700002
2023-06-29,SELL,OBLG,139.57859722100002
2023-06-29,BUY,GOLD,1.364513713225
2023-07-06,SELL,GOLD,1.4384855430749999
2023-07-06,BUY,EQMX,123.0512366525
2023-07-13,SELL,EQMX,126.39872968
2023-07-13,BUY,GOLD,1.4460145323
2023-07-17,SELL,GOLD,1.459985327
2023-07-17,BUY,EQMX,127.80128438999999
2023-07-18,SELL,EQMX,129.54869802250002
2023-07-18,BUY,GOLD,1.4820148941
2023-07-27,SELL,GOLD,1.466485261675
2023-07-27,BUY,EQMX,130.7513140375
2023-07-28,SELL,EQMX,131.698676415
2023-07-28,BUY,GOLD,1.483514909175
2023-08-02,SELL,GOLD,1.517484749125
2023-08-02,BUY,EQMX,135.80136479
2023-08-04,SELL,EQMX,135.4486387275
2023-08-04,BUY,GOLD,1.540015477
2023-08-11,SELL,GOLD,1.577484146125
2023-08-11,BUY,EQMX,138.40139092
2023-08-17,SELL,EQMX,134.6486467675
2023-08-17,BUY,LQDT,1.26041266702
2023-08-22,SELL,LQDT,1.2609873269499998
2023-08-22,BUY,EQMX,138.501391925
2023-08-30,SELL,EQMX,140.2485904875
2023-08-30,BUY,GOLD,1.55101558755
2023-08-31,SELL,GOLD,1.54298449285
2023-08-31,BUY,EQMX,140.85141554249998
2023-09-07,SELL,EQMX,138.5486075725
2023-09-07,BUY,LQDT,1.2664127273199999
2023-09-12,SELL,LQDT,1.26838725258
2023-09-12,BUY,GOLD,1.4940150147
2023-09-13,SELL,GOLD,1.5139847843
2023-09-13,BUY,LQDT,1.268712750435
2023-10-06,SELL,LQDT,1.27958714002
2023-10-06,BUY,EQMX,137.9513863975
2023-10-09,SELL,EQMX,138.6486065675
2023-10-09,BUY,LQDT,1.2792128559599998
2023-10-10,SELL,LQDT,1.28018713399
2023-10-10,BUY,EQMX,139.5514024775
2023-10-11,SELL,EQMX,137.098622145
2023-10-11,BUY,LQDT,1.28061287003
2023-10-13,SELL,LQDT,1.282287112885
2023-10-13,BUY,EQMX,139.901405995
2023-10-20,SELL,EQMX,142.9485633525
2023-10-20,BUY,GOLD,1.561515693075
2023-10-23,SELL,GOLD,1.5454844677250001
2023-10-23,BUY,EQMX,142.80143514
2023-11-01,SELL,EQMX,140.2485904875
2023-11-01,BUY,LQDT,1.289912963495
2023-11-03,SELL,LQDT,1.291687018415
2023-11-03,BUY,EQMX,140.3514105175
2023-11-07,SELL,EQMX,142.1485713925
2023-11-07,BUY,OBLG,136.521372026
2023-11-09,SELL,OBLG,136.878624356
2023-11-09,BUY,LQDT,1.29381300269
2023-11-13,SELL,LQDT,1.295686978215
2023-11-13,BUY,OBLG,136.981376649
2023-11-14,SELL,OBLG,136.538627773
2023-11-14,BUY,LQDT,1.296113025805
2023-11-15,SELL,LQDT,1.296686968165
2023-11-15,BUY,OBLG,136.681373634
2023-11-16,SELL,OBLG,136.39862918
2023-11-16,BUY,LQDT,1.29721303686
2023-12-05,SELL,LQDT,1.306886865655
2023-12-05,BUY,GOLD,1.5350154267499998
2023-12-08,SELL,GOLD,1.5139847843
2023-12-08,BUY,LQDT,1.309513160475
2023-12-22,SELL,LQDT,1.31698676415
2023-12-22,BUY,GOLD,1.54101548705
2023-12-25,SELL,GOLD,1.54298449285
2023-12-25,BUY,LQDT,1.3176132418800002
2023-12-28,SELL,LQDT,1.319286741035
2023-12-28,BUY,OBLG,138.30138991500002
2024-01-04,SELL,OBLG,139.458598427
2024-01-04,BUY,EQMX,140.1514085075
2024-01-05,SELL,EQMX,140.298589985
2024-01-05,BUY,GOLD,1.5260153363
2024-01-08,SELL,GOLD,1.52098471395
2024-01-08,BUY,OBLG,139.301399965
2024-01-10,SELL,OBLG,138.938603653
2024-01-10,BUY,LQDT,1.3259133252950002
2024-01-11,SELL,LQDT,1.32658666767
2024-01-11,BUY,EQMX,142.3514306175
2024-02-08,SELL,EQMX,144.3485492825
2024-02-08,BUY,LQDT,1.34221348911
2024-02-12,SELL,LQDT,1.3438864938050001
2024-02-12,BUY,EQMX,145.1514587575
2024-02-19,SELL,EQMX,144.79854476000003
2024-02-19,BUY,LQDT,1.34841355142
2024-02-20,SELL,LQDT,1.349086441545
2024-02-20,BUY,GOLD,1.5260153363
2024-02-21,SELL,GOLD,1.52498467375
2024-02-21,BUY,LQDT,1.3497135644849998
2024-02-22,SELL,LQDT,1.3519864124
2024-02-22,BUY,GOLD,1.5360154368
2024-02-26,SELL,GOLD,1.52698465365
2024-02-26,BUY,LQDT,1.352513592625
2024-02-27,SELL,LQDT,1.352886403355
2024-02-27,BUY,GOLD,1.532515401625
2024-02-28,SELL,GOLD,1.527484648625
2024-02-28,BUY,LQDT,1.35361360368
2024-02-29,SELL,LQDT,1.3542863892850001
2024-02-29,BUY,GOLD,1.52901536645
2024-03-04,SELL,GOLD,1.57498417125
2024-03-04,BUY,LQDT,1.356513632825
2024-03-06,SELL,LQDT,1.35758635612
2024-03-06,BUY,GOLD,1.58901596945
2024-04-22,SELL,GOLD,1.7719821914
2024-04-22,BUY,EQMX,155.20155975999998
2024-04-26,SELL,EQMX,154.39844828
2024-04-26,BUY,GOLD,1.7530176176499999
2024-04-27,SELL,GOLD,1.7699822115000001
2024-04-27,BUY,LQDT,1.387713946385
2024-04-29,SELL,LQDT,1.388286047585
2024-04-29,BUY,EQMX,155.45156227249998
2024-05-02,SELL,EQMX,154.3484487825
2024-05-02,BUY,LQDT,1.3900139694999998
2024-05-06,SELL,LQDT,1.392286007385
2024-05-06,BUY,EQMX,153.301540665
2024-05-07,SELL,EQMX,154.5484467725
