base_lookback,market_vol_window,base_vol_window,max_vol_threshold,market_vol_threshold,rvi_high_exit_threshold,rvi_low_threshold,rvi_medium_threshold,rvi_low_multiplier,rvi_high_multiplier,use_rvi_adaptation,use_trend_filter,trend_window,trend_filter_on_insufficient_data,bare_mode,risk_free_ticker,debug,final_value,cagr,sharpe,max_drawdown
28,21,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2698839.879780117,0.4010027715141722,3.091296271266029,-0.08252142460798473
28,10,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2698839.879780117,0.4010027715141722,3.091296271266029,-0.08252142460798473
28,40,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2698839.879780117,0.4010027715141722,3.091296271266029,-0.08252142460798473
28,100,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2698839.879780117,0.4010027715141722,3.091296271266029,-0.08252142460798473
28,80,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2698839.879780117,0.4010027715141722,3.091296271266029,-0.08252142460798473
28,60,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2698839.879780117,0.4010027715141722,3.091296271266029,-0.08252142460798473
28,120,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2698839.879780117,0.4010027715141722,3.091296271266029,-0.08252142460798473
29,40,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2685222.194759642,0.39859792826111806,3.034620604509363,-0.06682563624676374
29,60,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2685222.194759642,0.39859792826111806,3.034620604509363,-0.06682563624676374
29,10,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2685222.194759642,0.39859792826111806,3.034620604509363,-0.06682563624676374
29,80,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2685222.194759642,0.39859792826111806,3.034620604509363,-0.06682563624676374
29,100,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2685222.194759642,0.39859792826111806,3.034620604509363,-0.06682563624676374
29,120,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2685222.194759642,0.39859792826111806,3.034620604509363,-0.06682563624676374
29,21,9,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2685222.194759642,0.39859792826111806,3.034620604509363,-0.06682563624676374
28,21,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2583036.6744321845,0.38029004571251157,2.9667730527482004,-0.06651455588475408
28,40,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2583036.6744321845,0.38029004571251157,2.9667730527482004,-0.06651455588475408
28,10,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2583036.6744321845,0.38029004571251157,2.9667730527482004,-0.06651455588475408
28,80,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2583036.6744321845,0.38029004571251157,2.9667730527482004,-0.06651455588475408
28,120,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2583036.6744321845,0.38029004571251157,2.9667730527482004,-0.06651455588475408
28,60,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2583036.6744321845,0.38029004571251157,2.9667730527482004,-0.06651455588475408
28,100,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2583036.6744321845,0.38029004571251157,2.9667730527482004,-0.06651455588475408
28,10,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2511226.7265047496,0.3671362422194533,2.899198883216516,-0.06651455588475408
28,60,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2511226.7265047496,0.3671362422194533,2.899198883216516,-0.06651455588475408
28,40,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2511226.7265047496,0.3671362422194533,2.899198883216516,-0.06651455588475408
28,21,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2511226.7265047496,0.3671362422194533,2.899198883216516,-0.06651455588475408
28,80,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2511226.7265047496,0.3671362422194533,2.899198883216516,-0.06651455588475408
28,120,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2511226.7265047496,0.3671362422194533,2.899198883216516,-0.06651455588475408
28,100,7,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2511226.7265047496,0.3671362422194533,2.899198883216516,-0.06651455588475408
29,10,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2446199.331759133,0.3550087769422674,2.7148180652340406,-0.06790768396717217
29,21,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2446199.331759133,0.3550087769422674,2.7148180652340406,-0.06790768396717217
29,120,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2446199.331759133,0.3550087769422674,2.7148180652340406,-0.06790768396717217
29,100,8,0.6,0.35,35,15,25,1.2,0.7,True,True,60,allow,False,LQDT,False,2446199.331759133,0.3550087769422674,2.7148180652340406,-0.06790768396717217
